title_id,title,platform,release_date,score,user_score,developer,genre,critics,users,franchise
5899,Tales From The Borderlands: Episode 2 - Atlas Mugged,PlayStation4,3/17/2015,81,7.4,TelltaleGames,"Adventure,General",11,72,Tales from the Borderlands
5900,Tales From The Borderlands: Episode 2 - Atlas Mugged,PC,3/17/2015,78,8.6,TelltaleGames,"Adventure,General",38,146,Tales from the Borderlands
5901,Tales From The Borderlands: Episode 3 - Catch A Ride,PlayStation4,6/23/2015,83,7.3,TelltaleGames,"Adventure,General",12,80,Tales from the Borderlands
5902,Tales From The Borderlands: Episode 3 - Catch A Ride,PC,6/23/2015,81,8.4,TelltaleGames,"Adventure,General",24,135,Tales from the Borderlands
5903,Tales From The Borderlands: Episode 4 - Escape Plan Bravo,PC,8/18/2015,79,8.4,TelltaleGames,"Adventure,General",27,120,Tales from the Borderlands
5904,Tales From The Borderlands: Episode 4 - Escape Plan Bravo,PlayStation4,8/18/2015,78,7.7,TelltaleGames,"Adventure,General",9,56,Tales from the Borderlands
5905,Tales From The Borderlands: Episode 5 - The Vault of the Traveler,PlayStation4,10/20/2015,90,7.9,TelltaleGames,"Adventure,General",7,181,Tales from the Borderlands
5906,Tales From The Borderlands: Episode 5 - The Vault of the Traveler,PC,10/20/2015,86,8.7,TelltaleGames,"Adventure,General",32,302,Tales from the Borderlands
5907,Tales of Berseria,PlayStation4,1/24/2017,79,7.1,BandaiNamcoGames,"Japanese-Style,Role-Playing,Action RPG",57,525,Tales of Berseria
5908,Tales of Berseria,PC,1/26/2017,80,6.5,BandaiNamcoGames,"Japanese-Style,Role-Playing,Action RPG",18,333,Tales of Berseria
5909,Tales of Graces,PlayStation3,3/13/2012,77,8.5,NamcoBandaiGames,"Role-Playing,Console-style RPG,Action RPG,Console-style RPG,Japanese-Style",55,342,Tales of Graces
5910,Tales of Monkey Island Chapter 1: Launch of the Screaming Narwhal,PC,7/7/2009,79,7.8,TelltaleGames,"Adventure,General,3D,Fantasy,Third-Person,Fantasy",54,79,Tales of Monkey Island 
5911,Tales of Monkey Island Chapter 2: The Siege of Spinner Cay,PC,8/20/2009,77,7.5,TelltaleGames,"Adventure,General,3D,Fantasy,Third-Person,Fantasy",36,42,Tales of Monkey Island 
5912,Tales of Monkey Island Chapter 3: Lair of the Leviathan,PC,9/29/2009,82,7.7,TelltaleGames,"Adventure,General,3D,Fantasy,Third-Person,Fantasy",33,35,Tales of Monkey Island 
