game_name,franchise,platform,release_date,release_year,years_since,first_release_year,main_genre,tier_by_score,critics,critic_score,users,user_score,developer,global_sales,other_info
Old Man's Journey,Old Man's Journey,PC,2017-05-17,2017,0,2017,Adventure,Tier 3,9,76,42,7,BrokenRules,,"Adventure,General"
Old School Musical,Old School Musical,Switch,2018-09-13,2018,0,2018,Action,Tier 3,16,76,9,8,LaMoutarde,,"Action,Rhythm,Music"
OlliOlli,OlliOlli,PC,2014-07-22,2014,0,2014,Sports,Tier 3,12,78,29,7,TomHegarty,,"Sports,Alternative,Individual,Skateboarding,Skate / Skateboard"
OlliOlli: Switch Stance,OlliOlli,Switch,2019-02-14,2019,5,2014,General,Tier 2,18,83,9,8,Gambitious,,"Miscellaneous,Compilation"
OlliOlli2: Welcome to Olliwood,OlliOlli,PC,2015-08-11,2015,1,2014,Sports,Tier 2,16,82,32,6,roll7,,"Sports,Individual,Skate / Skateboard"
Omensight,Omensight,PC,2018-05-15,2018,0,2018,Adventure,Tier 3,11,75,31,7,SpearheadGames,,"Adventure,3D,First-Person"
On Rusty Trails,On Rusty Trails,PC,2016-06-13,2016,0,2016,Action,Tier 3,9,77,17,7,BlackPantsStudio,,"Action,Platformer,2D"
One Finger Death Punch 2,One Finger Death Punch,PC,2019-04-15,2019,0,2019,Action,Tier 2,9,83,17,8,SilverDollarGames,,"Action,General"
One Piece: Pirate Warriors 3 - Deluxe Edition,One Piece,Switch,2018-05-10,2018,5,2013,Action,Tier 3,16,76,29,8,KoeiTecmoGames,,"Action,Beat-''Em-Up,3D"
One Piece: Pirate Warriors 4,One Piece,Switch,2020-03-27,2020,7,2013,Action,Tier 4,8,69,27,7,OmegaForce,,"Action,Beat-''Em-Up,3D"
One Piece: Unlimited World Red - Deluxe Edition,One Piece,Switch,2017-09-29,2017,4,2013,Action,Tier 4,13,68,19,7,Ganbarion,,"Action,General"
One Step From Eden,One Step From Eden,PC,2020-03-26,2020,0,2020,Strategy,Tier 2,8,83,42,9,ThomasMoonKang,,"Strategy,Real-Time,Defense"
OneShot,OneShot,PC,2016-12-08,2016,0,2016,Puzzle,Tier 2,8,80,110,9,TeamOneshot,,"Puzzle,Action"
